,site,plot,sub_site,Shan,Simp,richness,Jaccard,Rao,sd.height,Wavelength,method,Reflectance_mean,Reflectance_sd,Reflectance_cv,Reflectance_max,Reflectance_min
110,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1179,hetero,0.40243365,0.046691862,11.6023752,0.4362861,0.3357532
111,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1088,hetero,0.4297096,0.054265692,12.62845689,0.4800853,0.3529442
112,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,997,hetero,0.387054175,0.051854669,13.39726373,0.436291,0.3140099
113,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,906,hetero,0.373124925,0.053046178,14.21673386,0.4256784,0.2992796
114,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1726,hetero,0.268041475,0.032933392,12.28667771,0.313936,0.2360803
115,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,815,hetero,0.3370586,0.048799648,14.47809013,0.3850323,0.2690368
116,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,724,hetero,0.218055875,0.025162234,11.5393514,0.2389399,0.1814577
117,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,633,hetero,0.064704865,0.007467021,11.5401234,0.07566818,0.05908833
118,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1453,hetero,0.147431875,0.025909962,17.57419302,0.1862259,0.1327066
119,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,542,hetero,0.064005938,0.005967855,9.323907665,0.07041164,0.05599696
120,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,451,hetero,0.028888553,0.002963552,10.25856901,0.0332377,0.02672865
121,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,360,hetero,0.012817158,0.001088252,8.490587926,0.01395359,0.01144831
122,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1180,hetero,0.402438025,0.046610105,11.58193374,0.4361562,0.3358791
123,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1089,hetero,0.429991825,0.054214038,12.60815548,0.4801723,0.3532471
124,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,998,hetero,0.387520675,0.051959433,13.40817066,0.436871,0.3143357
125,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,907,hetero,0.373391675,0.053089102,14.2180734,0.4259789,0.2994822
126,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1727,hetero,0.26765985,0.032908983,12.29507649,0.3136132,0.2358977
127,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,816,hetero,0.33762375,0.048730632,14.43341354,0.3854863,0.2696756
128,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,725,hetero,0.222998025,0.026278871,11.7843515,0.2451399,0.184882
129,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,634,hetero,0.064791918,0.007523729,11.61214069,0.07584488,0.05915462
130,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1454,hetero,0.1474194,0.025864261,17.54467927,0.1861541,0.132841
131,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,543,hetero,0.06457357,0.006023162,9.327596754,0.07102229,0.0564805
132,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,452,hetero,0.029055433,0.002959928,10.18717513,0.03339847,0.02690381
133,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,361,hetero,0.012820598,0.001120775,8.741988239,0.01401323,0.01141447
134,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1181,hetero,0.402479675,0.046593252,11.57654779,0.4360828,0.3359452
135,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1090,hetero,0.4302553,0.05414422,12.58420748,0.4801982,0.3535508
136,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,999,hetero,0.3879948,0.052059767,13.41764567,0.4374738,0.3146829
137,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,908,hetero,0.3739166,0.052737295,14.10402618,0.4260493,0.3004445
138,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1728,hetero,0.2673047,0.032845061,12.28749848,0.3132052,0.2356762
139,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,817,hetero,0.3382345,0.04865824,14.3859482,0.3859878,0.2703674
140,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,726,hetero,0.2277758,0.027276727,11.97525232,0.2510636,0.1883166
141,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,635,hetero,0.064833803,0.007579147,11.69011676,0.07597513,0.05917891
142,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1455,hetero,0.147499725,0.025788048,17.48345483,0.186118,0.1329196
143,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,544,hetero,0.065135638,0.006051501,9.290614582,0.07158646,0.05698912
144,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,453,hetero,0.02923288,0.002965266,10.14359919,0.03358331,0.02708017
145,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,362,hetero,0.01294873,0.001166313,9.007161679,0.01423627,0.01149834
146,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1182,hetero,0.402503375,0.046535686,11.56156424,0.4359285,0.3360486
147,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1091,hetero,0.430525625,0.054081156,12.56165796,0.4803379,0.3538886
148,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1000,hetero,0.388412875,0.052174771,13.43281192,0.4380906,0.3149756
149,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,909,hetero,0.37449585,0.0523678,13.98354625,0.4261605,0.301488
150,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1729,hetero,0.26710875,0.032819297,12.28686718,0.313019,0.2355498
151,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,818,hetero,0.338836075,0.048589559,14.34013745,0.3864882,0.2710479
152,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,727,hetero,0.232400375,0.028256193,12.15841118,0.2568061,0.1916272
153,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,636,hetero,0.064847698,0.007631285,11.76801229,0.07607358,0.05918258
154,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1456,hetero,0.14746295,0.02579802,17.49457719,0.1860941,0.1327168
155,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,545,hetero,0.065686123,0.006077754,9.252721369,0.07213443,0.0574884
156,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,454,hetero,0.02941542,0.002986528,10.15293292,0.03379333,0.0272333
157,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,363,hetero,0.01306552,0.00118288,9.053449249,0.01439344,0.01159657
158,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1183,hetero,0.402501825,0.046428494,11.5349773,0.43567,0.3361911
159,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1092,hetero,0.43079585,0.053990473,12.53272832,0.4805849,0.3543165
160,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1001,hetero,0.386437925,0.051860982,13.420262,0.4357869,0.3134114
161,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,910,hetero,0.37493285,0.052205055,13.92384121,0.4263847,0.3021263
162,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1730,hetero,0.26688185,0.032784945,12.28444161,0.3128069,0.2354607
163,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,819,hetero,0.339424275,0.048593775,14.31652916,0.3870751,0.2716303
164,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,728,hetero,0.23691735,0.029249702,12.34595172,0.2624511,0.1948155
165,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,637,hetero,0.06482165,0.007682153,11.85121481,0.07613163,0.05916062
